word, attempts, failed, match loop, required loop, allowed loop
aping, 7139, 56, 5130504, 115409, 7772419
glean, 7139, 56, 5045660, 72639, 7779330
pecan, 7139, 56, 5209578, 76924, 7681734
start, 7153, 56, 5667941, 92240, 8152391
drawl, 7160, 56, 5118507, 106109, 7991180
stick, 7179, 56, 5482508, 90361, 7863675
crowd, 7188, 56, 5148574, 126315, 7980118
mango, 7202, 56, 5044099, 95048, 7651167
suing, 7205, 56, 5467960, 90870, 7764203
gulch, 7215, 56, 5056967, 114644, 7787078
spike, 7223, 56, 5312214, 103938, 7988254
stunk, 7228, 56, 5202352, 101861, 7840640
badge, 7234, 56, 5692467, 56782, 7986734
lingo, 7234, 56, 4746622, 92662, 7493467
gnash, 7248, 56, 5398919, 145370, 8522384
smoke, 7259, 56, 5341938, 103070, 7892320
morph, 7268, 56, 4896140, 133761, 7750783
scene, 7271, 56, 5478272, 68035, 7840003
spree, 7273, 56, 5377807, 101662, 8094788
sheik, 7279, 56, 5405318, 88529, 7874464
shack, 7319, 56, 5857245, 69010, 7852161
thong, 7323, 56, 5062468, 102970, 7779324
flown, 7420, 56, 4899531, 134124, 7851376
shove, 7452, 56, 5605772, 107549, 8130905
lymph, 7510, 56, 4931196, 144638, 7862833
